code,title,prereq,terms,hours,optional,description,instructor,section_head,offered_to
6.8200,Sensorimotor Learning,6.3900 or 6.7900,G (Spring),3-0-9 units,,"Provides an in-depth view of the state-of-the-art learning methods for control and the know-how of applying these techniques. Topics span reinforcement learning, self-supervised learning, imitation learning, model-based learning, and advanced deep learning architectures, and specific machine learning challenges unique to building sensorimotor systems. Discusses how to identify if learning-based control can help solve a particular problem, how to formulate the problem in the learning framework, and what algorithm to use. Applications of algorithms in robotics, logistics, recommendation systems, playing games, and other control domains covered. Instruction involves two lectures a week, practical experience through exercises, discussion of current research directions, and a group project.",P. Agrawal,Robotics,G
6.8210,Underactuated Robotics,18.03 and 18.06,G (Spring),3-0-9 units,,"Covers nonlinear dynamics and control of underactuated mechanical systems, with an emphasis on computational methods. Topics include the nonlinear dynamics of robotic manipulators, applied optimal and robust control and motion planning. Discussions include examples from biology and applications to legged locomotion, compliant manipulation, underwater robots, and flying machines.",R. Tedrake,Robotics,G
6.4400,Computer Graphics,6.1010 and ( 18.06 or 18.C06[J] ),Acad Year 2024-2025: Not offered Acad Year 2025-2026: U (Fall),3-0-9 units,,"Introduction to computer graphics algorithms, software and hardware. Topics include ray tracing, the graphics pipeline, transformations, texture mapping, shadows, sampling, global illumination, splines, animation and color.","F. P. Durand, M. Konakovic-Lukovic, W. Matusik, J. Solomon",Graphics,U
6.4420[J],Computational Design and Fabrication,Calculus II (GIR) and ( 6.1010 or permission of instructor),U (Spring),3-0-9 units,,"Introduces computational aspects of computer-aided design and manufacturing. Explores relevant methods in the context of additive manufacturing (e.g., 3D printing). Topics include computer graphics (geometry modeling, solid modeling, procedural modeling), physically-based simulation (kinematics, finite element method), 3D scanning/geometry processing, and an overview of 3D fabrication methods. Exposes students to the latest research in computational fabrication. Students taking the graduate version complete additional assignments.",W. Matusik,Graphics,U
6.8410,Shape Analysis,"Calculus II (GIR) , 18.06 , and ( 6.8300 or 6.4400 )",Acad Year 2024-2025: G (Spring) Acad Year 2025-2026: Not offered,3-0-9 units,,"Introduces mathematical, algorithmic, and statistical tools needed to analyze geometric data and to apply geometric techniques to data analysis, with applications to fields such as computer graphics, machine learning, computer vision, medical imaging, and architecture. Potential topics include applied introduction to differential geometry, discrete notions of curvature, metric embedding, geometric PDE via the finite element method (FEM) and discrete exterior calculus (DEC),; computational spectral geometry and relationship to graph-based learning, correspondence and mapping, level set method, descriptor, shape collections, optimal transport, and vector field design.",J. Solomon,Graphics,G
6.8420,Computational Design and Fabrication,Calculus II (GIR) and ( 6.1010 or permission of instructor),G (Spring),3-0-9 units,,"Introduces computational aspects of computer-aided design and manufacturing. Explores relevant methods in the context of additive manufacturing (e.g., 3D printing). Topics include computer graphics (geometry modeling, solid modeling, procedural modeling), physically-based simulation (kinematics, finite element method), 3D scanning/geometry processing, and an overview of 3D fabrication methods. Exposes students to the latest research in computational fabrication. Students taking graduate version complete additional assignments.",W. Matusik,Graphics,G
6.4510,Engineering Interactive Technologies,"6.1020 , 6.2050 , 6.2060 , 6.9010 , or permission of instructor",U (Fall) Not offered regularly; consult department,1-5-6 units,,"Provides instruction in building cutting-edge interactive technologies, explains the underlying engineering concepts, and shows how those technologies evolved over time. Students use a studio format (i.e., extended periods of time) for constructing software and hardware prototypes. Topics include interactive technologies, such as multi-touch, augmented reality, haptics, wearables, and shape-changing interfaces. In a group project, students build their own interactive hardware/software prototypes and present them in a live demo at the end of term. Enrollment may be limited.",S. Mueller,Human-Computer Interaction & Society,U
6.4530[J],Principles and Practice of Assistive Technology,Permission of instructor,U (Fall) Not offered regularly; consult department,2-4-6 units,,"Students work closely with people with disabilities to develop assistive and adaptive technologies that help them live more independently. Covers design methods and problem-solving strategies; human factors; human-machine interfaces; community perspectives; social and ethical aspects; and assistive technology for motor, cognitive, perceptual, and age-related impairments. Prior knowledge of one or more of the following areas useful: software; electronics; human-computer interaction; cognitive science; mechanical engineering; control; or MIT hobby shop, MIT PSC, or other relevant independent project experience. Enrollment may be limited.","R. C. Miller, J. E. Greenberg, J. J. Leonard",Human-Computer Interaction & Society,U
6.4550[J],Interactive Music Systems,( 6.1010 and 21M.301 ) or permission of instructor,"U (Fall, Spring)",3-0-9 units. HASS-A,,See description under subject 21M.385[J] . Limited to 36.,"E. Egozy, L. Kaelbling",Human-Computer Interaction & Society,U
6.4570[J],Creating Video Games,6.100A or CMS.301,U (Fall),3-3-6 units. HASS-A,,See description under subject CMS.611[J] . Limited to 36.,"P. Tan, S. Verrilli, R. Eberhardt",Human-Computer Interaction & Society,U
6.4590[J],Foundations of Information Policy,Permission of instructor,Acad Year 2024-2025: U (Fall) Acad Year 2025-2026: Not offered,3-0-9 units. HASS-S,,"Studies the growth of computer and communications technology and the new legal and ethical challenges that reflect tensions between individual rights and societal needs. Topics include computer crime; intellectual property restrictions on software; encryption, privacy, and national security; academic freedom and free speech. Students meet and question technologists, activists, law enforcement agents, journalists, and legal experts. Instruction and practice in oral and written communication provided. Students taking graduate version complete additional assignments. Enrollment limited.","H. Abelson, M. Fischer, D. Weitzner",Human-Computer Interaction & Society,U
6.8510,Intelligent Multimodal User Interfaces,( 6.1020 and 6.4100 ) or permission of instructor,G (Spring),3-0-9 units,,"Implementation and evaluation of intelligent multi-modal user interfaces, taught from a combination of hands-on exercises and papers from the original literature. Topics include basic technologies for handling speech, vision, pen-based interaction, and other modalities, as well as various techniques for combining modalities. Substantial readings and a term project, where students build a program that illustrates one or more of the themes of the course.",R. Davis,Human-Computer Interaction & Society,G
6.8530,Interactive Data Visualization,6.1020,G (Spring) Not offered regularly; consult department,3-0-9 units,"Credit cannot also be received for 6.C35[J] , 6.C85[J] , 11.154 , 11.454 , 11.C35[J] , 11.C85[J]","Interactive visualization provides a means of making sense of a world awash in data. Covers the techniques and algorithms for creating effective visualizations, using principles from graphic design, perceptual psychology, and cognitive science. Short assignments build familiarity with the data analysis and visualization design process, and a final project provides experience designing, implementing, and deploying an explanatory narrative visualization or visual analysis tool to address a concrete challenge.",A. Satyanarayan,Human-Computer Interaction & Society,G
6.4710[J],"Evolutionary Biology: Concepts, Models and Computation",( 6.100A and 7.03 ) or permission of instructor,Acad Year 2024-2025: Not offered Acad Year 2025-2026: U (Spring),3-0-9 units,,See description under subject 7.33[J] .,"R. Berwick, D. Bartel",Computational Biology,U
6.8700[J],"Advanced Computational Biology: Genomes, Networks, Evolution","( Biology (GIR) , 6.1210 , and 6.3700 ) or permission of instructor",G (Fall),4-0-8 units,,"See description for 6.8701 . Additionally examines recent publications in the areas covered, with research-style assignments. A more substantial final project is expected, which can lead to a thesis and publication.",M. Kellis,Computational Biology,G
6.8701,"Computational Biology: Genomes, Networks, Evolution","( Biology (GIR) , 6.1210 , and 6.3700 ) or permission of instructor",U (Fall),3-0-9 units,,"Covers the algorithmic and machine learning foundations of computational biology, combining theory with practice. Principles of algorithm design, influential problems and techniques, and analysis of large-scale biological datasets. Topics include (a) genomes: sequence analysis, gene finding, RNA folding, genome alignment and assembly, database search; (b) networks: gene expression analysis, regulatory motifs, biological network analysis; (c) evolution: comparative genomics, phylogenetics, genome duplication, genome rearrangements, evolutionary theory. These are coupled with fundamental algorithmic techniques including: dynamic programming, hashing, Gibbs sampling, expectation maximization, hidden Markov models, stochastic context-free grammars, graph clustering, dimensionality reduction, Bayesian networks.",M. Kellis,Computational Biology,U
6.8710[J],Computational Systems Biology: Deep Learning in the Life Sciences,Biology (GIR) and ( 6.3700 or 18.600 ),Acad Year 2024-2025: G (Spring) Acad Year 2025-2026: Not offered,3-0-9 units,,"Presents innovative approaches to computational problems in the life sciences, focusing on deep learning-based approaches with comparisons to conventional methods. Topics include protein-DNA interaction, chromatin accessibility, regulatory variant interpretation, medical image understanding, medical record understanding, therapeutic design, and experiment design (the choice and interpretation of interventions). Focuses on machine learning model selection, robustness, and interpretation. Teams complete a multidisciplinary final research project using TensorFlow or other framework. Provides a comprehensive introduction to each life sciences problem, but relies upon students understanding probabilistic problem formulations. Students taking graduate version complete additional assignments.",D. K. Gifford,Computational Biology,G
6.8711[J],Computational Systems Biology: Deep Learning in the Life Sciences,( 6.100B and 7.05 ) or permission of instructor,Acad Year 2024-2025: U (Spring) Acad Year 2025-2026: Not offered,3-0-9 units,,"Presents innovative approaches to computational problems in the life sciences, focusing on deep learning-based approaches with comparisons to conventional methods. Topics include protein-DNA interaction, chromatin accessibility, regulatory variant interpretation, medical image understanding, medical record understanding, therapeutic design, and experiment design (the choice and interpretation of interventions). Focuses on machine learning model selection, robustness, and interpretation. Teams complete a multidisciplinary final research project using TensorFlow or other framework. Provides a comprehensive introduction to each life sciences problem, but relies upon students understanding probabilistic problem formulations. Students taking graduate version complete additional assignments.",D. K. Gifford,Computational Biology,U
6.8720[J],Principles of Synthetic Biology,,G (Fall),3-0-9 units,,See description under subject 20.405[J] .,R. Weiss,Computational Biology,G
6.8721[J],Principles of Synthetic Biology,,U (Fall),3-0-9 units,,See description under subject 20.305[J] .,R. Weiss,Computational Biology,U
6.4800[J],Biomedical Systems: Modeling and Inference,( 6.3100 and ( 18.06 or 18.C06[J] )) or permission of instructor,Acad Year 2024-2025: Not offered Acad Year 2025-2026: U (Fall),4-4-4 units,,"Medically motivated examples of problems in human health that engage students in systems modeling, signal analysis and inference, and design. Content draws on two domains, first by establishing a model of the human cardiovascular system with signal analysis and inference applications of electrocardiograms in health and disease. In a second topic, medical imaging by MRI is motivated by examples of common clinical decision making, followed by laboratory work with technology and instrumentation with the functionality of commercial diagnostic scanners. Students apply concepts from lectures in labs for data collection for image reconstruction, image analysis, and inference by their own design. Labs further include kits for interactive and portable low-cost devices that can be assembled by the students to demonstrate fundamental building blocks of an MRI system.","E. Adalsteinsson, T. Heldt, C. M. Stultz, J. K. White",Biomedical & Health,U
6.4810[J],Cellular Neurophysiology and Computing,"( Physics II (GIR) , 18.03 , and ( 2.005 , 6.2000 , 6.3000 , 10.301 , or 20.110[J] )) or permission of instructor",U (Spring),5-2-5 units,,"Integrated overview of the biophysics of cells from prokaryotes to neurons, with a focus on mass transport and electrical signal generation across cell membrane. First third of course focuses on mass transport through membranes: diffusion, osmosis, chemically mediated, and active transport. Second third focuses on electrical properties of cells: ion transport to action potential generation and propagation in electrically excitable cells. Synaptic transmission. Electrical properties interpreted via kinetic and molecular properties of single voltage-gated ion channels. Final third focuses on biophysics of synaptic transmission and introduction to neural computing. Laboratory and computer exercises illustrate the concepts. Students taking graduate version complete different assignments. Preference to juniors and seniors.","J. Han, T. Heldt",Biomedical & Health,U
6.4812[J],Cellular Neurophysiology and Computing,"( Physics II (GIR) , 18.03 , and ( 2.005 , 6.2000 , 6.3000 , 10.301 , or 20.110[J] )) or permission of instructor",G (Spring),5-2-5 units,,"Integrated overview of the biophysics of cells from prokaryotes to neurons, with a focus on mass transport and electrical signal generation across cell membrane. First third of course focuses on mass transport through membranes: diffusion, osmosis, chemically mediated, and active transport. Second third focuses on electrical properties of cells: ion transport to action potential generation and propagation in electrically excitable cells. Synaptic transmission. Electrical properties interpreted via kinetic and molecular properties of single voltage-gated ion channels. Final third focuses on biophysics of synaptic transmission and introduction to neural computing. Laboratory and computer exercises illustrate the concepts. Students taking graduate version complete different assignments.","J. Han, T. Heldt",Biomedical & Health,G
6.4820[J],Quantitative and Clinical Physiology,"Physics II (GIR) , 18.03 , or permission of instructor",U (Fall),4-2-6 units,,"Application of the principles of energy and mass flow to major human organ systems. Anatomical, physiological and clinical features of the cardiovascular, respiratory and renal systems. Mechanisms of regulation and homeostasis. Systems, features and devices that are most illuminated by the methods of physical sciences and engineering models. Required laboratory work includes animal studies. Students taking graduate version complete additional assignments.","T. Heldt, R. G. Mark",Biomedical & Health,U
6.4822[J],Quantitative and Clinical Physiology,6.4810[J] and ( 2.006 or 6.2300 ),G (Fall),4-2-6 units,,"Application of the principles of energy and mass flow to major human organ systems. Anatomical, physiological and clinical features of the cardiovascular, respiratory and renal systems. Mechanisms of regulation and homeostasis. Systems, features and devices that are most illuminated by the methods of physical sciences and engineering models. Required laboratory work includes animal studies. Students taking graduate version complete additional assignments.","T. Heldt, R. G. Mark, L. G. Petersen",Biomedical & Health,G
6.4830[J],"Fields, Forces and Flows in Biological Systems","Biology (GIR) , Physics II (GIR) , and 18.03",U (Spring),4-0-8 units,,See description under subject 20.330[J] .,"J. Han, S. Manalis",Biomedical & Health,U
6.4832[J],"Fields, Forces, and Flows in Biological Systems",Permission of instructor,G (Fall),3-0-9 units,,See description under subject 20.430[J] .,"M. Bathe, A. J. Grodzinsky",Biomedical & Health,G
6.4840[J],"Molecular, Cellular, and Tissue Biomechanics",Biology (GIR) and 18.03,U (Spring),4-0-8 units,,See description under subject 20.310[J] .,"M. Bathe, K. Ribbeck, P. T. So",Biomedical & Health,U
6.4842[J],"Molecular, Cellular, and Tissue Biomechanics",Biology (GIR) and 18.03,G (Spring),3-0-9 units,,See description under subject 20.410[J] .,"M. Bathe, K. Ribbeck, P. T. So",Biomedical & Health,G
6.4860[J],Medical Device Design,"2.008 , 6.2040 , 6.2050 , 6.2060 , 22.071 , or permission of instructor",U (Spring),3-3-6 units,,See description under subject 2.750[J] . Enrollment limited.,"A. H. Slocum, E. Roche, N. C. Hanumara, G. Traverso, A. Pennes",Biomedical & Health,U
6.4861[J],Medical Device Design,"2.008 , 6.2040 , 6.2050 , 6.2060 , 22.071 , or permission of instructor",G (Spring),3-3-6 units,,See description under subject 2.75[J] . Enrollment limited.,"A. H. Slocum, E. Roche, N. C. Hanumara, G. Traverso, A. Pennes",Biomedical & Health,G
6.4880[J],Biological Circuit Engineering Laboratory,Biology (GIR) and Calculus II (GIR),U (Spring),2-8-2 units. Institute LAB,,See description under subject 20.129[J] . Enrollment limited.,"T. Lu, R. Weiss",Biomedical & Health,U
6.4900,Introduction to EECS via Medical Technology,Calculus II (GIR) and Physics II (GIR),U (Spring) Not offered regularly; consult department,4-4-4 units. Institute LAB,,"Explores biomedical signals generated from electrocardiograms, glucose detectors or ultrasound images, and magnetic resonance images. Topics include physical characterization and modeling of systems in the time and frequency domains; analog and digital signals and noise; basic machine learning including decision trees, clustering, and classification; and introductory machine vision. Labs designed to strengthen background in signal processing and machine learning. Students design and run structured experiments, and develop and test procedures through further experimentation.","C. M. Stultz, E. Adalsteinsson",Biomedical & Health,U
6.8800[J],Biomedical Signal and Image Processing,"( 6.3700 and ( 2.004 , 6.3000 , 16.002 , or 18.085 )) or permission of instructor",G (Spring),3-1-8 units,,"Fundamentals of digital signal processing with emphasis on problems in biomedical research and clinical medicine. Basic principles and algorithms for processing both deterministic and random signals. Topics include data acquisition, imaging, filtering, coding, feature extraction, and modeling. Lab projects, performed in MATLAB, provide practical experience in processing physiological data, with examples from cardiology, speech processing, and medical imaging. Lectures cover signal processing topics relevant to the lab exercises, as well as background on the biological signals processed in the labs. Students taking graduate version complete additional assignments.","J. Greenberg, E. Adalsteinsson, W. Wells",Biomedical & Health,G
6.8801[J],Biomedical Signal and Image Processing,"( 6.3700 or permission of instructor) and ( 2.004 , 6.3000 , 16.002 , or 18.085 )",U (Spring),3-1-8 units,,"Fundamentals of digital signal processing with emphasis on problems in biomedical research and clinical medicine. Basic principles and algorithms for processing both deterministic and random signals. Topics include data acquisition, imaging, filtering, coding, feature extraction, and modeling. Lab projects, performed in MATLAB, provide practical experience in processing physiological data, with examples from cardiology, speech processing, and medical imaging. Lectures cover signal processing topics relevant to the lab exercises, as well as background on the biological signals processed in the labs. Students taking graduate version complete additional assignments.","J. Greenberg, E. Adalsteinsson, W. Wells",Biomedical & Health,U
6.8810[J],Data Acquisition and Image Reconstruction in MRI,6.3010,Acad Year 2024-2025: Not offered Acad Year 2025-2026: G (Fall),3-0-9 units,,"Applies analysis of signals and noise in linear systems, sampling, and Fourier properties to magnetic resonance (MR) imaging acquisition and reconstruction. Provides adequate foundation for MR physics to enable study of RF excitation design, efficient Fourier sampling, parallel encoding, reconstruction of non-uniformly sampled data, and the impact of hardware imperfections on reconstruction performance. Surveys active areas of MR research. Assignments include Matlab-based work with real data. Includes visit to a scan site for human MR studies.",E. Adalsteinsson,Biomedical & Health,G
6.8830[J],Signal Processing by the Auditory System: Perception,( 6.3000 and ( 6.3700 or 6.3702 )) or permission of instructor,G (Fall) Not offered regularly; consult department,3-0-9 units,,"Studies information processing performance of the human auditory system in relation to current physiological knowledge. Examines mathematical models for the quantification of auditory-based behavior and the relation between behavior and peripheral physiology, reflecting the tono-topic organization and stochastic responses of the auditory system. Mathematical models of psychophysical relations, incorporating quantitative knowledge of physiological transformations by the peripheral auditory system.",L. D. Braida,Biomedical & Health,G
6.8850[J],"Clinical Data Learning, Visualization, and Deployments (New)",( 6.7900 and 6.7930[J] ) or permission of instructor,G (Fall),3-0-9 units,,See description under subject HST.953[J] .,"M. Ghassemi, L. A. Celi, N. McCague and E. Gottlieb",Biomedical & Health,G
6.8300,Advances in Computer Vision,( 6.1200[J] or 6.3700 ) and ( 18.06 or 18.C06[J] ),G (Spring),3-0-9 units,,"Advanced topics in computer vision with a focus on the use of machine learning techniques and applications in graphics and human-computer interface. Covers image representations, texture models, structure-from-motion algorithms, Bayesian techniques, object and scene recognition, tracking, shape modeling, and image databases. Applications may include face recognition, multimodal interaction, interactive systems, cinematic special effects, and photorealistic rendering. Covers topics complementary to 6.8390. Students taking graduate version complete additional assignments.","W. T. Freeman, M. Konakovic Lukovic, V. Sitzmann",Vision,G
6.8301,Advances in Computer Vision,( 6.1200[J] or 6.3700 ) and ( 18.06 or 18.C06[J] ),U (Spring) Not offered regularly; consult department,4-0-11 units,,"Advanced topics in computer vision with a focus on the use of machine learning techniques and applications in graphics and human-computer interface. Covers image representations, texture models, structure-from-motion algorithms, Bayesian techniques, object and scene recognition, tracking, shape modeling, and image databases. Applications may include face recognition, multimodal interaction, interactive systems, cinematic special effects, and photorealistic rendering. Includes instruction and practice in written and oral communication. Students taking graduate version complete additional assignments.","W. T. Freeman, M. Konakovic Lukovic, V. Sitzmann",Vision,U
6.8320,Advanced Topics in Computer Vision,"6.801, 6.8300 , or permission of instructor",G (Fall) Not offered regularly; consult department,3-0-9 units,Can be repeated for credit.,"Seminar exploring advanced research topics in the field of computer vision; focus varies with lecturer. Typically structured around discussion of assigned research papers and presentations by students. Example research areas explored in this seminar include learning in vision, computational imaging techniques, multimodal human-computer interaction, biomedical imaging, representation and estimation methods used in modern computer vision.","W. T. Freeman, B. K. P. Horn, A. Torralba",Vision,G
6.8370,Advanced Computational Photography,Calculus II (GIR) and 6.1020,G (Fall),3-0-9 units,,"Presents fundamentals and applications of hardware and software techniques used in digital and computational photography, with an emphasis on software methods. Provides sufficient background to implement solutions to photographic challenges and opportunities. Topics include cameras and image formation, image processing and image representations, high-dynamic-range imaging, human visual perception and color, single view 3-D model reconstruction, morphing, data-rich photography, super-resolution, and image-based rendering. Students taking graduate version complete additional assignments.",F. P. Durand,Vision,G
6.8371,Digital and Computational Photography,Calculus II (GIR) and 6.1010,U (Fall),3-0-9 units,,"Presents fundamentals and applications of hardware and software techniques used in digital and computational photography, with an emphasis on software methods. Provides sufficient background to implement solutions to photographic challenges and opportunities. Topics include cameras and image formation, image processing and image representations, high-dynamic-range imaging, human visual perception and color, single view 3-D model reconstruction, morphing, data-rich photography, super-resolution, and image-based rendering. Students taking graduate version complete additional assignments.",F. P. Durand,Vision,U
6.8610,Quantitative Methods for Natural Language Processing,6.3900 and ( 18.06 or 18.C06[J] ),G (Fall),3-0-9 units,,"Introduces the study of human language from a computational perspective, including syntactic, semantic and discourse processing models. Emphasizes machine learning methods and algorithms. Uses these methods and models in applications such as syntactic parsing, information extraction, statistical machine translation, dialogue systems. Students taking graduate version complete additional assignments.","J. Andreas, J. Glass",Natural Language Processing & Speech,G
6.8611,Quantitative Methods for Natural Language Processing,6.3900 and ( 18.06 or 18.C06[J] ),U (Fall),4-0-11 units,,"Introduces the study of human language from a computational perspective, including syntactic, semantic and discourse processing models. Emphasizes machine learning methods and algorithms. Uses these methods and models in applications such as syntactic parsing, information extraction, statistical machine translation, dialogue systems. Instruction and practice in oral and written communication provided. Students taking graduate version complete additional assignments.","J. Andreas, J. Glass",Natural Language Processing & Speech,U
6.8620[J],Spoken Language Processing,6.3000 and 6.3900,Acad Year 2024-2025: Not offered Acad Year 2025-2026: G (Spring),3-1-8 units,,"Introduces the rapidly developing field of spoken language processing including automatic speech recognition. Topics include acoustic theory of speech production, acoustic-phonetics, signal representation, acoustic and language modeling, search, hidden Markov modeling, neural networks models, end-to-end deep learning models, and other machine learning techniques applied to speech and language processing topics. Lecture material intersperses theory with practice. Includes problem sets, laboratory exercises, and open-ended term project.",J. R. Glass,Natural Language Processing & Speech,G
6.8630[J],Natural Language and the Computer Representation of Knowledge,6.4100 or permission of instructor,G (Spring),3-3-6 units,,"Explores the relationship between the computer representation and acquisition of knowledge and the structure of human language, its acquisition, and hypotheses about its differentiating uniqueness. Emphasizes development of analytical skills necessary to judge the computational implications of grammatical formalisms and their role in connecting human intelligence to computational intelligence. Uses concrete examples to illustrate particular computational issues in this area.",R. C. Berwick,Natural Language Processing & Speech,G
6.9000,Engineering for Impact,"6.1910 , 6.2000 , and 6.3100",U (Spring),2-3-7 units,,"Students work in large teams to engineer hardware/software systems that solve important problems in society. Topics include requirements, specifications, system design and partitioning, detailed engineering design, prototyping and implementation, test and verification, and the ethical implications of these choices. Explores case studies of existing hardware/software systems to understand implications of different system design choices. Teams design and build functional prototypes of useful systems. Grading is based on individual- and team-based elements. Enrollment may be limited due to staffing and space requirements.",J. Voldman,Cross-cutting EECS Subjects,U
6.9010,Introduction to EECS via Interconnected Embedded Systems,6.100A ; Coreq: Physics II (GIR),U (Spring) Not offered regularly; consult department,1-5-6 units. Institute LAB,,"Introduction to embedded systems in the context of connected devices, wearables, and the ""Internet of Things"" (IoT). Topics include microcontrollers, energy utilization, algorithmic efficiency, interfacing with sensors, networking, cryptography, and local versus distributed computation. Students design, make, and program an Internet-connected wearable or handheld device. In the final project, student teams design and demo their own server-connected IoT system. Enrollment limited; preference to first- and second-year students.","S. Mueller, J. D. Steinmeyer, J. Voldman",Cross-cutting EECS Subjects,U
6.9020[J],How to Make (Almost) Anything,Permission of instructor,G (Fall),3-9-6 units,,See description under subject MAS.863[J] .,"N. Gershenfeld, J. DiFrancesco, J. Lavallee, G. Darcey",Cross-cutting EECS Subjects,G
6.9030,Strobe Project Laboratory,Physics II (GIR) or permission of instructor,"U (Fall, Spring)",2-8-2 units. Institute LAB,,"Application of electronic flash sources to measurement and photography. First half covers fundamentals of photography and electronic flashes, including experiments on application of electronic flash to photography, stroboscopy, motion analysis, and high-speed videography. Students write four extensive lab reports. In the second half, students work in small groups to select, design, and execute independent projects in measurement or photography that apply learned techniques. Project planning and execution skills are discussed and developed over the term. Students engage in extensive written and oral communication exercises. Enrollment limited.","J. K. Vandiver, J. W. Bales",Cross-cutting EECS Subjects,U
6.9080,Introduction to EECS via Robotics,6.100A or permission of instructor,U (Spring) Not offered regularly; consult department,2-4-6 units. Institute LAB,,"An integrated introduction to electrical engineering and computer science, taught using substantial laboratory experiments with mobile robots. Key issues in the design of engineered artifacts operating in the natural world: measuring and modeling system behaviors; assessing errors in sensors and effectors; specifying tasks; designing solutions based on analytical and computational models; planning, executing, and evaluating experimental tests of performance; refining models and designs. Issues addressed in the context of computer programs, control systems, probabilistic inference problems, circuits and transducers, which all play important roles in achieving robust operation of a large variety of engineered systems.","D. M. Freeman, A. Hartz, L. P. Kaelbling, T. Lozano-Perez",Cross-cutting EECS Subjects,U
6.UAR,Seminar in Undergraduate Advanced Research,Permission of instructor,"U (Fall, Spring)",2-0-4 units,Can be repeated for credit.,"Instruction in effective undergraduate research, including choosing and developing a research topic, surveying previous work and publications, research topics in EECS and the School of Engineering, industry best practices, design for robustness, technical presentation, authorship and collaboration, and ethics. Students engage in extensive written and oral communication exercises, in the context of an approved advanced research project. A total of 12 units of credit is awarded for completion of the fall and subsequent spring term offerings. Application required; consult EECS SuperUROP website for more information.","D. Katabi, A. P. Chandrakasan",Cross-cutting EECS Subjects,U
6.UAT,Oral Communication,,"U (Fall, Spring)",3-0-6 units,,"Provides instruction in aspects of effective technical oral presentations and exposure to communication skills useful in a workplace setting. Students create, give and revise a number of presentations of varying length targeting a range of different audiences. Enrollment may be limited.",T. L. Eng,Cross-cutting EECS Subjects,U
6.9101[J],Introduction to Design Thinking and Innovation in Engineering,,"U (Fall, Spring; partial term)",2-0-1 units,,"Introduces students to concepts of design thinking and innovation that can be applied to any engineering discipline. Focuses on introducing an iterative design process, a systems-thinking approach for stakeholder analysis, methods for articulating design concepts, methods for concept selection, and techniques for testing with users. Provides an opportunity for first-year students to explore product or system design and development, and to build their understanding of what it means to lead and coordinate projects in engineering design. Subject can count toward the 6-unit discovery-focused credit limit for first-year students. Enrollment limited to 25; priority to first-year students.",B. Kotelly,Gordon Engineering Leadership Program,U
6.910A,Design Thinking and Innovation Leadership for Engineers,,"U (Fall, Spring; partial term)",2-0-1 units,,"Introductory subject in design thinking and innovation. Develops students' ability to conceive, implement, and evaluate successful projects in any engineering discipline. Lessons focus on an iterative design process, a systems-thinking approach for stakeholder analysis, methods for articulating design concepts, methods for concept selection, and techniques for testing with users.",B. Kotelly,Gordon Engineering Leadership Program,U
6.910B,Design Thinking and Innovation Project,6.910A,"U (Fall, Spring; partial term)",2-0-1 units,,"Project-based subject. Students employ design-thinking techniques learned in 6.902A to develop a robust speech-recognition application using a web-based platform. Students practice in leadership and teamwork skills as they collaboratively conceive, implement, and iteratively refine their designs based on user feedback. Topics covered include techniques for leading the creative process in teams, the ethics of engineering systems, methods for articulating designs with group collaboration, identifying and reconciling paradoxes of engineering designs, and communicating solution concepts with impact. Students present oral presentations and receive feedback to sharpen their communication skills.",B. Kotelly,Gordon Engineering Leadership Program,U
6.9110,Engineering Leadership Lab,None. Coreq: 6.9120 ; or permission of instructor,"U (Fall, Spring)",0-2-1 units,Can be repeated for credit.,See description under subject 6.9130 . Preference to students enrolled in the Bernard M. Gordon-MIT Engineering Leadership Program.,"L. McGonagle, J. Feiler",Gordon Engineering Leadership Program,U
6.9120,Engineering Leadership,None. Coreq: 6.9110 ; or permission of instructor,"U (Fall, Spring)",1-0-2 units,Can be repeated for credit.,"Exposes students to the models and methods of engineering leadership within the contexts of conceiving, designing, implementing and operating products, processes and systems. Introduces the Capabilities of Effective Engineering Leaders, and models and theories related to the capabilities. Discusses the appropriate times and reasons to use particular models to deliver engineering success. Includes occasional guest speakers or panel discussions. May be repeated for credit once with permission of instructor. Preference to first-year students in the Gordon Engineering Leadership Program.",J. Magarian,Gordon Engineering Leadership Program,U
6.9130,Engineering Leadership Lab,"6.910A , 6.9110 , 6.9120 , or permission of instructor","U (Fall, Spring)",0-2-4 units,Can be repeated for credit.,"Advances students' leadership, teamwork, and communication skills through further exposure to leadership frameworks, models, and cases within an engineering context in an interactive, practice-based environment. Students coach others, assess performance, and lead guided reflections on individual and team successes, while discovering opportunities for improvement. Students assist with programmatic planning and implementation of role-play simulations, small group discussions, and performance and peer assessments by and of other students and by instructors. Includes frequent engineering industry-guest participation and involvement. Content is frequently student-led. Second year Gordon Engineering Leadership Program (GEL) Program students register for 6.9130 . Preference to students enrolled in the second year of the Gordon-MIT Engineering Leadership Program.","L. McGonagle, J. Feiler",Gordon Engineering Leadership Program,U
